iter	Passed	Remaining
886	2166	276
887	2169	273
888	2172	271
889	2174	268
890	2177	266
891	2180	263
892	2183	261
893	2187	259
894	2189	256
895	2191	254
896	2195	252
897	2197	249
898	2200	247
899	2203	244
900	2205	242
901	2207	239
902	2211	237
903	2213	235
904	2217	232
905	2219	230
906	2222	227
907	2224	225
908	2227	223
909	2230	220
910	2233	218
911	2236	215
912	2238	213
913	2241	210
914	2244	208
915	2246	206
916	2249	203
917	2252	201
918	2254	198
919	2257	196
920	2260	193
921	2262	191
922	2265	189
923	2268	186
924	2270	184
925	2273	181
926	2275	179
927	2278	176
928	2281	174
929	2284	171
930	2286	169
931	2289	167
932	2291	164
933	2294	162
934	2297	159
935	2299	157
936	2302	154
937	2305	152
938	2308	149
939	2310	147
940	2313	145
941	2315	142
942	2318	140
943	2322	137
944	2324	135
945	2326	132
946	2329	130
947	2331	127
948	2335	125
949	2339	123
950	2343	120
951	2346	118
952	2349	115
953	2352	113
954	2356	111
955	2358	108
956	2361	106
957	2363	103
958	2366	101
959	2370	98
960	2374	96
961	2378	93
962	2381	91
963	2384	89
964	2387	86
965	2391	84
966	2394	81
967	2397	79
968	2401	76
969	2403	74
970	2406	71
971	2409	69
972	2411	66
973	2414	64
974	2417	61
975	2419	59
976	2422	57
977	2425	54
978	2427	52
979	2430	49
980	2432	47
981	2435	44
982	2437	42
983	2440	39
984	2442	37
985	2445	34
986	2447	32
987	2449	29
988	2452	27
989	2454	24
990	2457	22
991	2459	19
992	2462	17
993	2464	14
994	2467	12
995	2469	9
996	2472	7
997	2474	4
998	2476	2
999	2479	0
